drink_id,display_name,base_recipe_name,short_description,theme_keys,image_file,ingredients_text,recipe_notes,variation_group,availability_dependencies,is_launch_ready,is_featured,sort_order,theme_sort_overrides,is_shot
moscow-mule,Moscow Mule,Moscow Mule,Cold ginger standard that always gets ordered,the-usual-suspects,moscow-mule.png,Vodka | lime or lime juice | ginger beer,,mule-family,,yes,yes,11,,no
mojito,Mojito,Classic Mojito,Fresh mint lime crusher,the-usual-suspects,mojito.png,White rum | fresh lime | sugar or simple syrup | mint leaves | club soda,,mojito-family,mint,yes,yes,12,,no
french-75,French 75,French 75,Bubbly citrus classic with cognac bite,the-usual-suspects,french-75.png,1.5 oz cognac | 0.75 oz lemon juice | 0.75 oz simple syrup | 1 oz champagne,,french-75-family,champagne,yes,yes,13,,no
spicy-frozen-pineapple-margarita,Spicy Frozen Pineapple Margarita,Spicy Frozen Pineapple Margarita,Frozen pineapple heat with tajin edge,cool-runnings,spicy-frozen-pineapple-margarita.png,Tequila | frozen pineapple | lime juice | agave | jalapeno blended in | blend with ice | tajin rim,,frozen-margs,jalapeno,yes,yes,14,,no
pina-colada,Pina Colada,Pina Colada,Blended coconut pineapple pool classic,"cool-runnings,adult-swim",pina-colada.png,6 oz light rum | 4 oz anejo rum | 6 oz cream of coconut | 6 oz pineapple juice | frozen pineapple | blend with ice,,pina-colada-family,,yes,yes,15,,no
miami-vice,Miami Vice,Miami Vice,Half strawberry daiquiri half pina colada split,cool-runnings,miami-vice.png,0.5 strawberry daiquiri + 0.5 pina colada layered,,,,yes,yes,16,,no
frozen-coconut-mojito,Frozen Coconut Mojito,Frozen Coconut Mojito,Blended mint-coconut rum slush,cool-runnings,frozen-coconut-mojito.png,4 oz coconut rum | 4 oz cream of coconut | 2 oz lime juice | 8 mint leaves | blend with ice,,frozen-mojito,mint,yes,yes,17,,no
strawberry-frose,Strawberry Frose,Strawberry Frose,Frozen rose strawberry crowd hit,cool-runnings,strawberry-frose.png,1 bottle rose | 4 cups strawberries | 0.25 cup vodka | 2 tbsp lemon juice | blend with ice,,,,yes,yes,18,,no
painkiller,Painkiller,Painkiller,Dark rum pineapple coconut party lane,adult-swim,painkiller.png,2 oz dark rum | 4 oz pineapple juice | 1 oz orange juice | 1 oz cream of coconut | nutmeg garnish | orange or cherry garnish,,,,yes,yes,19,,no
cherry-spritz,Cherry Spritz,Cherry Spritz,Tart cherry spritz with prosecco lift,known-offenders,cherry-spritz.png,1 oz Aperol | 1 oz tart cherry juice | 0.5 oz lime juice | 0.5 oz grenadine | 3 oz prosecco | splash soda,,,,yes,yes,20,,no
spicy-coconut-margarita,Spicy Coconut Margarita,Spicy Coconut Margarita,Coconut-serrano margarita with lava salt bite,known-offenders,spicy-coconut-margarita.png,2 oz tequila | 1 oz lime juice | 0.5 oz Cointreau | 0.25 oz simple syrup | 1 oz coconut cream | 0.5 serrano pepper | black lava salt rim,,,serrano,yes,yes,21,,no
hot-smoky-mezcal-margarita,Hot and Smoky Mezcal Margarita,Hot and Smoky Mezcal Margarita,Smoky mezcal heat with bright citrus edge,tequila-sunday,hot-smoky-mezcal-margarita.png,1.5 oz mezcal | 0.5 oz tequila | 0.75 oz lime juice | 0.5 oz orange liqueur | 0.25 oz agave | jalapeno slices | tajin rim,,mezcal-marg,jalapeno,yes,yes,22,,no
frozen-blue-margarita,Frozen Blue Margarita,Frozen Blue Margarita,Electric blue frozen margarita crowd favorite,cool-runnings,frozen-blue-margarita.png,2 oz tequila | 1 oz blue curacao | 1 oz lime juice | 0.5 oz agave | blend with ice,,frozen-margs,,yes,yes,23,,no
frozen-coconut-margarita,Frozen Coconut Margarita,Frozen Coconut Margarita,Frozen coconut margarita with creamy finish,cool-runnings,frozen-coconut-margarita.png,2 oz tequila | 1 oz cream of coconut | 1 oz lime juice | 0.5 oz orange liqueur | blend with ice,,frozen-margs,,yes,yes,24,,no
pineapple-mint-daiquiri,Pineapple Mint Daiquiri,Pineapple Mint Daiquiri,Frozen pineapple daiquiri with mint lift,cool-runnings,pineapple-mint-daiquiri.png,2 oz white rum | 2 oz pineapple juice | 0.75 oz lime juice | 0.5 oz simple syrup | mint leaves | blend with ice,,frozen-daiquiri,mint,yes,yes,25,,no
old-fashioned,Old Fashioned,Old Fashioned,Spirit-forward classic with bitters and orange oil,the-usual-suspects,old-fashioned.png,2 oz bourbon or rye | 0.25 oz simple syrup | 2 dashes Angostura bitters | orange peel,,,,yes,yes,26,,no
aperol-spritz,Aperol Spritz,Aperol Spritz,Effortless sparkling spritz that always goes down easy,the-usual-suspects,aperol-spritz.png,3 oz prosecco | 2 oz Aperol | 1 oz soda water | orange slice,,,,yes,yes,27,,no
bloody-mary,Bloody Mary,Bloody Mary,Brunch legend with spice and savory backbone,the-usual-suspects,bloody-mary.jpg,2 oz vodka | 4 oz tomato juice | 0.5 oz lemon juice | Worcestershire | hot sauce | celery salt | black pepper | celery garnish,,bloody-mary-family,,yes,yes,28,,no
alabazam,Alabazam,Alabazam,Cognac citrus cocktail with old-school charm,off-the-beaten-path,alabazam.png,1.5 oz cognac | 1 oz orange juice | 2 dashes bitters | 1 tsp simple syrup,,,,yes,yes,29,,no
peruvian-elder-sour,Peruvian Elder Sour,Peruvian Elder Sour,Floral pisco sour riff with elderflower lift,off-the-beaten-path,peruvian-elder-sour.png,1.5 oz pisco | 0.5 oz elderflower liqueur | 0.75 oz lime juice | 0.5 oz simple syrup | 1 egg white,,elder-sour,egg_white,yes,yes,30,,no
singapore-sling,Singapore Sling,Singapore Sling,Tropical gin classic with cherry and citrus,off-the-beaten-path,singapore-sling.png,1.5 oz gin | 0.5 oz cherry liqueur | 0.25 oz Benedictine | 0.25 oz Cointreau | 0.5 oz lime juice | pineapple juice | dash bitters,,,,yes,yes,31,,no
riviera-spritz,Riviera Spritz,Riviera Spritz,Crisp coastal spritz built for slow afternoons,off-the-beaten-path,riviera-spritz.png,2 oz dry vermouth | 3 oz prosecco | 1 oz soda water | lemon twist,,,,yes,yes,32,,no
division-bell,Division Bell,Division Bell,Smoky mezcal with maraschino and citrus balance,off-the-beaten-path,division-bell.png,1 oz mezcal | 0.75 oz Aperol | 0.5 oz maraschino liqueur | 0.75 oz lime juice,,,,yes,yes,33,,no
red-headed-slut,Red-headed Slut,Red-headed Slut,Quick peach-jager-cran hit,the-usual-suspects,shot-red-headed-slut.png,0.33 oz peach schnapps | 0.5 oz Jager | 0.33 oz cranberry juice,,,,yes,yes,70,,yes
washington-apple,Washington Apple,Washington Apple,Tart apple-crown-cran shot,the-usual-suspects,shot-washington-apple.png,1 oz Crown | 1 oz sour apple schnapps | 1 oz cranberry juice,,,,yes,yes,71,,yes
red-snapper-shot,Red Snapper,Red Snapper,Whiskey and amaretto with cranberry,the-usual-suspects,shot-red-snapper.png,1 oz whiskey | 1 oz amaretto | 2 oz cranberry juice,,,,yes,yes,72,,yes
stop-light,Stop Light,Stop Light,Party shot trio with bright color hit,the-usual-suspects,shot-stop-light.png,3.5 shots vodka | cranberry | orange juice | melon liqueur,,,,yes,yes,73,,yes
tequila-slammer,Tequila Slammer,Tequila Slammer,Slam shot with soda finish,the-usual-suspects,shot-tequila-slammer.png,1 oz tequila | 1 oz ginger ale or Sprite | pour and slam,,,,yes,yes,74,,yes
irish-car-bomb,Irish Car Bomb,Irish Car Bomb,Classic drop shot,the-usual-suspects,shot-irish-car-bomb.png,0.5 oz Jameson | 0.5 oz Bailey's | drop into Guinness,,,,yes,yes,75,,yes
jager-bomb,Jager Bomb,Jager Bomb,Drop shot energy boost,the-usual-suspects,shot-jager-bomb.png,Shot of Jager | glass of Red Bull,,,,yes,yes,76,,yes
vegas-bomb,Vegas Bomb,Vegas Bomb,The loud one from the bombs lineup,the-usual-suspects,shot-vegas-bomb.png,Shot of Crown | cranberry | peach schnapps | Red Bull | drop and drink,,,,yes,yes,77,,yes
nac-bomb,NAC Bomb,NAC Bomb,Cognac bomb variation,the-usual-suspects,shot-nac-bomb.png,Shot of Cognac | glass of Red Bull,,,,yes,yes,78,,yes
flaming-dr-pepper,Flaming Dr Pepper,Flaming Dr Pepper,Fire-forward amaretto bomb,the-usual-suspects,shot-flaming-dr-pepper.png,0.75 shot amaretto | 0.25 shot 151 | light on fire | drop in beer,,,,yes,yes,79,,yes
hurricane,Hurricane,Hurricane,Passion fruit rum classic with citrus and grenadine,"spirit-rum,spirit-martinis",hurricane.png,2 oz light rum | 2 oz dark rum | 1 oz lime juice | 1 oz orange juice | 0.5 oz passion fruit puree | 0.5 oz simple syrup | splash grenadine,,,,yes,yes,80,,no
rum-swizzle,Rum Swizzle,Rum Swizzle,Tropical rum swizzle with bitters spice,spirit-rum,rum-swizzle.png,3 oz dark rum | 3 oz white rum | 6 oz orange juice | 6 oz pineapple juice | 0.5 oz grenadine | 4 drops Angostura bitters,,,,yes,yes,81,,no
mai-tai,Mai Tai,Mai Tai,Classic island build with rum, curacao, and citrus,spirit-rum,mai-tai.png,1.5 oz light rum | 0.75 oz orange curacao | 0.75 oz lime juice | 1.5 oz pineapple juice | 0.5 oz orange juice | 0.5 oz dark rum float,,,,yes,yes,82,,no
mint-julep,Mint Julep,Mint Julep,Cold bourbon mint crusher,spirit-whiskey,mint-julep.png,2 oz bourbon | 0.25 oz simple syrup | 8 mint leaves,,,,yes,yes,83,,no
boulevardier,Boulevardier,Boulevardier,Whiskey negroni style with deep bitter balance,"spirit-whiskey,spirit-liqueurs",boulevardier.png,1.25 oz bourbon or rye | 1 oz Campari | 1 oz sweet vermouth,,,,yes,yes,84,,no
whiskey-sour,Whiskey Sour,Whiskey Sour,Foamy whiskey sour with lemon snap,spirit-whiskey,whiskey-sour.png,2 oz bourbon | 0.75 oz lemon juice | 0.75 oz simple syrup | egg white,,,,yes,yes,85,,no
whiskey-smash,Whiskey Smash,Whiskey Smash,Muddled lemon mint bourbon smash,spirit-whiskey,whiskey-smash.png,2 oz bourbon | 0.75 oz simple syrup | 3 lemon wedges muddled | 4 mint leaves | soda water,,,,yes,yes,86,,no
john-collins,John Collins,John Collins,Bright tall collins with citrus and soda,"spirit-gin,spirit-whiskey",john-collins.png,2 oz bourbon or gin | 0.75 oz simple syrup | 1 oz lemon juice | 4 oz soda water | lemon or cherry garnish,,,,yes,yes,87,,no
blackberry-bourbon-smash,Blackberry Bourbon Smash,Blackberry Bourbon Smash,Blackberry mint bourbon smash,spirit-whiskey,blackberry-bourbon-smash.png,2 oz bourbon | 0.25 lime | 8 blackberries | 5 mint leaves | 0.5 oz simple syrup | soda water,,,,yes,yes,88,,no
bay-breeze,Bay Breeze,Bay Breeze,Cranberry pineapple vodka refresher,spirit-vodka,bay-breeze.png,2 oz vodka | 2 oz pineapple juice | 2 oz cranberry juice | orange or cherry garnish,,,,yes,yes,89,,no
white-russian,White Russian,White Russian,Creamy coffee vodka classic,spirit-vodka,white-russian.png,2 oz vodka | 2 oz coffee liqueur | 2 oz heavy cream,,,,yes,yes,90,,no
wisecrack-fizz,Wisecrack Fizz,Wisecrack Fizz,Pisco elderflower grapefruit fizz,"spirit-liqueurs,spirit-gin",wisecrack-fizz.png,1.5 oz pisco | 1 oz elderflower liqueur | 1 oz grapefruit juice | 0.5 oz lemon juice | top with soda water,,,,yes,yes,91,,no
pisco-punch,Pisco Punch,Pisco Punch,Pisco pineapple punch with orange bitters,"spirit-liqueurs,spirit-gin",pisco-punch.png,2 oz pisco | 0.5 oz lemon juice | 1 oz simple syrup | muddled pineapple | 1 dash orange bitters,,,,yes,yes,92,,no
negroni,Negroni,Negroni,Equal parts bitter gin staple,"spirit-gin,spirit-liqueurs",negroni.png,1 part gin | 1 part Campari | 1 part sweet vermouth,,,,yes,yes,93,,no
coconut-pineapple-sour,Coconut and Pineapple Sour,Coconut & Pineapple Sour,Tropical gin sour with coconut water and egg white,spirit-gin,coconut-pineapple-sour.png,gin | coconut water | lime juice | pineapple juice | agave syrup | 1 egg white,,coconut-pineapple-sour,egg_white,yes,yes,94,,no
dirty-martini,Dirty Martini,Dirty Martini,Olive brine martini with classic bite,"spirit-vodka,spirit-martinis",dirty-martini.png,6 oz vodka | dash dry vermouth | 1 oz olive brine | green olives,,,,yes,yes,95,,no
cosmopolitan,Cosmopolitan,Cosmopolitan,Citrus cranberry martini mainstay,"spirit-vodka,spirit-martinis",cosmopolitan.png,2 oz vodka | 1 oz cranberry juice | 0.75 oz lime juice | 0.75 oz triple sec | orange twist,,,,yes,yes,96,,no
blue-sky,Blue Sky,Blue Sky,Bright blue martini-style vodka build,"spirit-vodka,spirit-martinis",blue-sky.png,vodka | blue curacao | sweet vermouth | green olive or lemon,,,,yes,yes,97,,no
french-martini,French Martini,French Martini,Pineapple Chambord vodka martini,"spirit-vodka,spirit-martinis,spirit-liqueurs",french-martini.png,2 oz vodka | 1 oz pineapple juice | 0.5 oz Chambord,,,,yes,yes,98,,no
lemon-drop-martini,Lemon Drop Martini,Lemon Drop Martini,Bright lemon martini with sugared rim,"spirit-vodka,spirit-martinis",lemon-drop-martini.png,1.5 oz vodka | 0.5 oz Cointreau | 0.5 oz lemon juice | 1 tsp simple syrup | sugar rim | lemon twist,,,,yes,yes,99,,no
chocolate-martini,Chocolate Martini,Chocolate Martini,Dessert martini with chocolate and cream,"spirit-vodka,spirit-martinis,spirit-liqueurs",chocolate-martini.png,2 to 4 oz vodka | 2 oz chocolate liqueur | 2 oz Baileys | 3 tbsp chocolate syrup | optional half and half,,,,yes,yes,100,,no
aphrodisiac-cosmo,Aphrodisiac Cosmo,Aphrodisiac Cosmo,Agavero-vodka cosmo riff,"spirit-vodka,spirit-martinis,spirit-liqueurs",aphrodisiac-cosmo.png,2 oz Agavero | 2 oz vodka | splash cranberry | splash lime juice,,,,yes,yes,101,,no
amalfi-martini,Amalfi Martini,Amalfi Martini,Gin and limoncello martini with mint,"spirit-gin,spirit-martinis,spirit-liqueurs",amalfi-martini.png,2 oz gin | 1.5 oz limoncello | 0.5 oz lemon juice | a few mint leaves,,,,yes,yes,102,,no
dragons-breath,Dragon's Breath,Dragon's Breath,Smoky whiskey cocktail with St Germain and Cointreau,"spirit-smoke,spirit-whiskey,spirit-liqueurs",dragons-breath.png,2 oz bourbon | 1 tsp St Germain | 1 tsp Cointreau | 1 tsp simple syrup,,,,yes,yes,103,,no
smoked-bramble-sour,Smoked Bramble Sour,Smoked Bramble Sour,Blackberry whiskey sour with smoke,"spirit-smoke,spirit-whiskey",smoked-bramble-sour.png,2 oz bourbon | 0.75 oz lemon juice | 1 oz simple syrup | 3 to 4 blackberries,,,,yes,yes,104,,no
goblet-of-fire,Goblet of Fire,Goblet of Fire,Bitters-forward smoked whiskey build,"spirit-smoke,spirit-whiskey",goblet-of-fire.png,2 oz bourbon or whiskey | 2 dashes bitters | 1 to 2 sugar cubes | orange peel,,,,yes,yes,105,,no
smoked-old-fashioned,Smoked Old Fashioned,Smoked Old Fashioned,Old fashioned build with smoke and orange,"spirit-smoke,spirit-whiskey",smoked-old-fashioned.png,2 oz bourbon | 0.5 tsp sugar | 3 dashes Angostura bitters | 1 tsp water | orange peel,,,,yes,yes,106,,no
